End Effector								Cube					
Pos:x	Pos:y	Pos:z	Rot:x	Rot:y	Rot:z	Rot:w	Pos:x	Pos:y	Pos:z	Rot:x	Rot:y	Rot:z	Rot:w
0	0.0670618953	0.8718789057	0	1	0	0	0.5	0	0.0375	1	0	0	0
0.0049987039	0.0664299482	0.8717477854	-0.0009043557	0.9980647961	-0.0601890387	-0.0155924526	0.5	2.07310114618026E-19	0.0417051962	1	2.39395697559931E-18	0	0
0.0001556105	0.0663528571	0.8714194173	-0.000332453	0.9974754317	-0.0697925759	-0.0131014842	0.5	4.41238410620345E-19	0.0446352583	1	5.62039540045171E-18	0	0
-0.0064167872	0.066156918	0.8709330718	2.7578724228263E-05	0.9967034349	-0.0805840271	-0.0094062065	0.5	7.01612328505181E-19	0.0460617099	1	9.95170845283276E-18	0	0
-0.0127275549	0.0658525556	0.8702321056	0.0002771997	0.9956894838	-0.0924622238	-0.0072878089	0.5	1.30665142751142E-18	0.0467234725	1	1.84210968548345E-17	0	0
-0.018839526	0.0654719522	0.8693210043	0.0004330861	0.9944642037	-0.1048900072	-0.006232689	0.5	2.40800869724037E-18	0.0470177886	1	3.32930077318703E-17	0	0
-0.0247671154	0.0650334493	0.8681904846	0.0005519052	0.993037715	-0.1176478751	-0.0058965671	0.5	4.16906129053761E-18	0.0471550855	1	4.02649300643989E-17	-2.13533789879287E-20	-4.01042157622897E-20
-0.030704667	0.0645544776	0.8668418801	0.0006684685	0.9914275015	-0.1305359502	-0.0056060852	0.5	6.03508665833076E-18	0.0472211526	1	4.16853563126123E-17	-2.6362927490347E-20	-7.20824352225065E-20
-0.036612834	0.0640119313	0.8652764782	0.0007306461	0.9896395676	-0.1434616124	-0.0056354399	0.5	7.90436833559874E-18	0.0472533666	1	4.14227797648921E-17	-1.93151759869651E-20	-8.67455734224148E-20
-0.0425552488	0.0634440801	0.8634807702	0.0008385549	0.9876697092	-0.1564539885	-0.0054764756	0.5	9.77410388990628E-18	0.0472691675	1	4.06737132081195E-17	-2.45126121002537E-20	-9.2513022186278E-20
-0.0485346453	0.0628027415	0.8614705093	0.0008699058	0.985538398	-0.1693617325	-0.0054692754	0.5	1.16437049589532E-17	0.0472769395	1	4.07088795916318E-17	-2.34781772256134E-20	-9.49295765651684E-20
-0.0545194295	0.0621411905	0.8592206759	0.0009576703	0.9832203272	-0.182342136	-0.0053119235	0.5	1.35130241418859E-17	0.0472807675	1	4.10817139243252E-17	-2.18271934458319E-20	-9.47248547704597E-20
-0.0605655327	0.0614073176	0.8567536499	0.0009724421	0.9807513652	-0.1951897063	-0.0051761477	0.5	1.53828117019413E-17	0.0472826541	1	4.19548583380866E-17	-2.19718357936458E-20	-9.42047437955388E-20
-0.0665976274	0.0606471545	0.8540452279	0.001019757	0.9780929156	-0.2081068951	-0.0049728047	0.5	1.72521750612931E-17	0.0472835843	1	4.14077733894229E-17	-2.30476941012432E-20	-9.38303693876213E-20
-0.0726825522	0.0598259482	0.8511117106	0.001018981	0.9752868996	-0.2208896728	-0.0047093051	0.5	1.91215963858396E-17	0.0472840429	1	4.08692981646034E-17	-1.77452462208528E-20	-9.38864086678415E-20
-0.0787523148	0.0589678086	0.8479400582	0.0010156932	0.9722946977	-0.2337145332	-0.0044165832	0.5	2.09913323125683E-17	0.0472842691	1	4.00375133247666E-17	-1.90239896447732E-20	-9.36159594548536E-20
-0.0848478656	0.058060864	0.8445343801	0.0009874758	0.9691519066	-0.2464289721	-0.0040458064	0.5	2.28606752189309E-17	0.0472843806	1	4.14970450415146E-17	-1.67679421332467E-20	-9.32797059210051E-20
-0.0909325643	0.0571101933	0.8408944504	0.0009320708	0.9658308451	-0.2591460615	-0.003637127	0.5	2.47306794484302E-17	0.0472844356	1	4.09639657040278E-17	-1.71034437427178E-20	-9.1934161086839E-20
-0.0970158439	0.0561166575	0.8370155799	0.0008572528	0.9623533199	-0.2717817713	-0.0031656876	0.5	2.66001326709307E-17	0.0472844628	1	4.19342167336666E-17	-1.67919295960208E-20	-9.26080958546453E-20
-0.099701406	0.0551266006	0.833966819	0.0017386582	0.9589204086	-0.2836359599	-0.0043896702	0.5	2.84697673243777E-17	0.0472844761	1	4.08943395810267E-17	-1.23368960926737E-20	-9.26224171593754E-20
-0.0972237635	0.0541138295	0.8317995914	0.0040787638	0.9553199181	-0.295346154	-0.0108566568	0.5	3.03391904846148E-17	0.0472844827	1	4.0971691801992E-17	-1.01687042119475E-20	-9.30135946575924E-20
-0.0910262545	0.0530421021	0.8299731465	0.0076718719	0.951326492	-0.3073157335	-0.0218194405	0.5	3.2208675105408E-17	0.047284486	1	4.12374622731223E-17	-8.6543992311297E-21	-9.28954028405766E-20
-0.0829524583	0.0518958396	0.8280742879	0.0121911544	0.9468613522	-0.3194879084	-0.0351060083	0.5	3.4078723986243E-17	0.0472844876	1	4.059890486405E-17	-7.70818790125468E-21	-9.40226706975372E-20
-0.0741019498	0.0506777577	0.8259020233	0.0174161791	0.9419185358	-0.3317420501	-0.0493291061	0.5	3.59478965681698E-17	0.0472844884	1	4.01703693069595E-17	-6.91795954013114E-21	-9.4767243588436E-20
-0.0649754522	0.0493963656	0.8233794905	0.0232329727	0.9365096826	-0.3439918697	-0.0638704696	0.5	3.78175302386504E-17	0.0472844888	1	4.11332216657514E-17	-5.72151968428616E-21	-9.50762494695062E-20
-0.0557651324	0.0480584329	0.8204792175	0.0295927852	0.9306406064	-0.3561845117	-0.0785170197	0.5	3.9687090026423E-17	0.047284489	1	4.10830097586738E-17	-4.14390221215129E-21	-9.49967659149671E-20
-0.0465388572	0.0466678017	0.8171884377	0.0364795866	0.9243089955	-0.3682844564	-0.0932130885	0.5	4.15568397615285E-17	0.0472844891	1	4.07217622174029E-17	-8.21396053782564E-21	-9.51518411915512E-20
-0.0373250629	0.045226493	0.8134977476	0.0438917348	0.9175081605	-0.3802628585	-0.1079465125	0.5	4.34263317753473E-17	0.0472844891	1	4.1085506880538E-17	-7.79571667138649E-21	-9.56206117093018E-20
-0.0281439512	0.043735807	0.8093987029	0.0518330726	0.9102303231	-0.39209258	-0.1227090065	0.5	4.52957020752031E-17	0.0472844891	1	4.18584387352236E-17	-1.07262318705488E-20	-9.60344097050067E-20
-0.0190163699	0.0421969311	0.8048838349	0.0603089327	0.9024683514	-0.4037462808	-0.1374869014	0.5	4.71649821139033E-17	0.0472844891	1	4.16267475636403E-17	-9.23178578291367E-21	-9.57083184376174E-20
-0.0099652907	0.0406111902	0.7999470089	0.0693243776	0.8942164717	-0.4151958076	-0.1522612023	0.5	4.90347932398458E-17	0.0472844892	1	4.17028529126415E-17	-1.28012149431086E-20	-9.51574891299749E-20
-0.0010154843	0.0389801223	0.7945836955	0.0788833696	0.8854705285	-0.4264120692	-0.1670092943	0.5	5.0903825095255E-17	0.0472844892	1	4.17596145409431E-17	-1.46120350948574E-20	-9.53345166312752E-20
0.0078069721	0.0373054909	0.788791152	0.0889883177	0.8762281025	-0.4373650853	-0.1817062848	0.5	5.27732575801437E-17	0.0472844892	1	4.13203193610203E-17	-1.80829106399146E-20	-9.46184856490336E-20
0.0164750548	0.035589277	0.7825685635	0.0996397811	0.8664885987	-0.4480241085	-0.196325802	0.5	5.46425165659096E-17	0.0472844892	1	4.21804723531097E-17	-1.61640696699114E-20	-9.39809720822904E-20
0.024961052	0.0338336669	0.7759171643	0.110836249	0.8562533327	-0.4583577866	-0.2108404509	0.5	5.6512212503225E-17	0.0472844892	1	4.13342663201547E-17	-1.64156197318498E-20	-9.39466136964923E-20
0.0332367806	0.0320410389	0.768840347	0.1225739662	0.8455256117	-0.4683343537	-0.2252221036	0.5	5.83823256666401E-17	0.0472844892	1	4.09749352693572E-17	-1.6927249052725E-20	-9.41824119969686E-20
0.0412737986	0.030213948	0.7613437552	0.1348467943	0.8343108038	-0.4779218486	-0.2394421255	0.5	6.02517396274347E-17	0.0472844892	1	4.03376079679548E-17	-1.67089197657904E-20	-9.40566966349427E-20
0.0490436255	0.028355109	0.7534353573	0.1476461024	0.8226163896	-0.4870883516	-0.2534715798	0.5	6.21210734491025E-17	0.0472844892	1	4.07897239209582E-17	-1.54774382014008E-20	-9.37032417444817E-20
0.0565179745	0.0264673769	0.7451254958	0.1609606886	0.8104519927	-0.4958022409	-0.2672814289	0.5	6.39906208156023E-17	0.0472844892	1	4.06703699962646E-17	-1.59544113094567E-20	-9.37611653408706E-20
0.0636689943	0.0245537253	0.7364269127	0.1747767303	0.7978293862	-0.5040324606	-0.2808427383	0.5	6.58599985926967E-17	0.0472844892	1	4.07401309653688E-17	-1.48801195029099E-20	-9.31078197841013E-20
0.0704695176	0.0226172224	0.7273547452	0.1890777672	0.7847624752	-0.5117487985	-0.2941268818	0.5	6.77297215897966E-17	0.0472844892	1	4.1413528146902E-17	-1.45970570132637E-20	-9.25230843349777E-20
0.0768933129	0.0206610057	0.7179264936	0.2038447166	0.7712672524	-0.5189221686	-0.3071057469	0.5	6.95993733167242E-17	0.0472844892	1	3.98898736067443E-17	-1.32294910147997E-20	-9.20793121632421E-20
0.0829153337	0.0186882546	0.7081619591	0.2190559225	0.7573617293	-0.5255248927	-0.3197519365	0.5	7.14691576104277E-17	0.0472844892	1	3.92773972246993E-17	-1.07416316675205E-20	-9.27827730418834E-20
0.0885119639	0.0167021634	0.6980831512	0.2346872394	0.7430658421	-0.5315309771	-0.3320389651	0.5	7.33387101168324E-17	0.0472844892	1	3.97683749198669E-17	-1.83784070311298E-20	-9.23724035148229E-20
0.0936612525	0.0147059124	0.6877141664	0.2507121512	0.7284013336	-0.5369163783	-0.3439414445	0.5	7.5208223478178E-17	0.0472844892	1	4.00627439498298E-17	-1.87072881836045E-20	-9.19891326058407E-20
0.0983431347	0.0127026408	0.6770810381	0.267101923	0.7133916134	-0.5416592531	-0.3554352574	0.5	7.70778326479145E-17	0.0472844892	1	4.02540361463015E-17	-1.99148545694858E-20	-9.19914129131989E-20
0.1025396335	0.0106954184	0.6662115622	0.2838257801	0.6980615985	-0.5457401919	-0.3664977137	0.5	7.89474359530168E-17	0.0472844892	1	3.97473387226876E-17	-2.09492873635655E-20	-9.16499733664508E-20
0.1062350492	0.0086872244	0.6551350937	0.3008511443	0.6824375385	-0.5491424136	-0.3771076831	0.5	8.08171406739215E-17	0.0472844892	1	4.02364067674515E-17	-2.2136598303301E-20	-9.23089680161713E-20
0.1094161148	0.0066809197	0.6438823169	0.3181438452	0.6665468248	-0.5518519269	-0.3872457552	0.5	8.2686854098494E-17	0.0472844892	1	3.98119282268774E-17	-2.23269823734299E-20	-9.19877060562497E-20
0.1120721108	0.0046792223	0.6324850348	0.3356683839	0.6504177871	-0.5538577319	-0.3968942569	0.5	8.45565327787814E-17	0.0472844892	1	3.96056721443016E-17	-2.32850216184947E-20	-9.23955409840635E-20
0.1141949961	0.0026846997	0.620975879	0.353388243	0.634079498	-0.5551518383	-0.4060374076	0.5	8.64261719690464E-17	0.0472844892	1	3.95991558479863E-17	-2.47293895981486E-20	-9.26163500128106E-20
0.1157794598	0.0006997438	0.6093880717	0.3712661666	0.6175615483	-0.5557294023	-0.4146613064	0.5	8.82957498250831E-17	0.0472844892	1	3.99914528647696E-17	-2.55415098534477E-20	-9.22499688589541E-20
0.1168229598	-0.0012734389	0.597755145	0.3892644271	0.6008938581	-0.5555887153	-0.4227540142	0.5	9.0165351870235E-17	0.0472844892	1	3.97869464576415E-17	-2.65982247954908E-20	-9.18771767369909E-20
0.1173257487	-0.0032328318	0.5861106632	0.4073452115	0.5841064466	-0.5547311999	-0.430305512	0.5	9.20349863837625E-17	0.0472844892	1	3.96826290599461E-17	-2.80802665154183E-20	-9.18512903020136E-20
0.1172906601	-0.0051575196	0.5744884212	0.4254068372	0.5673017275	-0.5530867867	-0.4373702999	0.5	9.39045491019271E-17	0.0472844892	1	3.94653106608656E-17	-2.71887982129705E-20	-9.22257779506037E-20
0.1167206603	-0.0061827787	0.5629261864	0.4404754644	0.5537561046	-0.5474010737	-0.4468641924	0.5	9.57739190671448E-17	0.0472844892	1	3.95337709319942E-17	-4.14669289025305E-20	-9.04092462467471E-20
0.115635219	-0.0066454217	0.5514212567	0.4539917026	0.5420756135	-0.5392716745	-0.4574184346	0.5	9.76431509852547E-17	0.0472844892	1	3.94220591554687E-17	-5.11763219923459E-20	-8.78837358976999E-20
0.114042074	-0.0068444947	0.5399896163	0.4665815924	0.5311397763	-0.5298825088	-0.4684193447	0.5	9.95128081429931E-17	0.0472844892	1	3.97114174730672E-17	-5.19940928467447E-20	-8.78278303999637E-20
0.1119474123	-0.006929432	0.5286588666	0.4785492342	0.5204046865	-0.5198150732	-0.4795434104	0.5	1.0138248477073E-16	0.0472844892	1	3.97007314636906E-17	-5.47804750413525E-20	-8.89693418730499E-20
0.1093600365	-0.006965962	0.5174582876	0.4900544429	0.5096362491	-0.5093352842	-0.4906068741	0.5	1.03252144106545E-16	0.0472844892	1	4.00947810622295E-17	-5.54184012271115E-20	-8.93360811217526E-20
0.106685694	-0.006982722	0.5076705853	0.4999440664	0.4999774005	-0.4998023208	-0.5002760933	0.5	1.05121635353245E-16	0.0472844892	1	3.97915175787419E-17	-5.59088913716586E-20	-8.86678956782818E-20
0.1050242383	-0.0069922031	0.5021531891	0.5054879351	0.4943874967	-0.4942699307	-0.5057273832	0.5	1.06990949339967E-16	0.0472844892	1	3.98870775784297E-17	-5.74654302800811E-20	-8.64212258777066E-20
0.1042657208	-0.0069961541	0.4998735493	0.5077577217	0.4920708283	-0.491980232	-0.5079407911	0.5	1.08860521217061E-16	0.0472844892	1	3.99821834263329E-17	-5.66875290559017E-20	-8.64910617439629E-20
0.1039733121	-0.0069973723	0.499095203	0.5085213799	0.4912949365	-0.4912166914	-0.5086663481	0.5	1.1073014875296E-16	0.0472844892	1	3.99779262611657E-17	-5.90911448232879E-20	-8.64627715451455E-20
0.1038710338	-0.0069975089	0.4988736471	0.5087314856	0.4910866811	-0.4910132283	-0.5088537676	0.5	1.12599723190278E-16	0.0472844892	1	3.97711605747407E-17	-5.94509322741861E-20	-8.62785791317694E-20
0.103837069	-0.0069973833	0.4988250196	0.5087741869	0.4910488218	-0.490977508	-0.5088820767	0.5	1.14469369957623E-16	0.0472844892	1	3.99638445178577E-17	-6.01989540072807E-20	-8.55345762227613E-20
0.1038254473	-0.006997335	0.4988204372	0.5087747418	0.491051001	-0.490980715	-0.5088763249	0.5	1.16338874771683E-16	0.0472844892	1	4.01535188144708E-17	-6.10441735431225E-20	-8.55620864315493E-20
0.1038213006	-0.0069972213	0.4988226352	0.5087713361	0.4910566851	-0.4909866774	-0.508868492	0.5	1.18208554105198E-16	0.0472844892	1	3.99409198078873E-17	-6.23952657207188E-20	-8.53840832386076E-20
0.10381948	-0.0069972563	0.4988249783	0.5087678787	0.4910607386	-0.490991226	-0.5088636484	0.5	1.20078081320735E-16	0.0472844892	1	3.97300817560369E-17	-6.40713050725583E-20	-8.44168016623166E-20
0.1038186552	-0.0069971969	0.4988257558	0.5087668586	0.491062394	-0.4909927519	-0.5088615985	0.5	1.21947604164226E-16	0.0472844892	1	4.00202769186964E-17	-6.40279683595111E-20	-8.43207975302616E-20
0.1038182642	-0.0069972265	0.4988262598	0.5087662747	0.4910631684	-0.4909938264	-0.5088603982	0.5	1.23817042572469E-16	0.0472844892	1	4.01084953677088E-17	-6.53554071150219E-20	-8.35358163877496E-20
0.1038179976	-0.0069972133	0.4988263521	0.5087658688	0.4910635424	-0.4909940768	-0.5088602015	0.5	1.25686592620671E-16	0.0472844892	1	4.02019796978729E-17	-6.56251330380995E-20	-8.39977297901637E-20
0.1038179606	-0.0069972052	0.4988263193	0.5087662171	0.4910634815	-0.4909941101	-0.5088598799	0.5	1.27556197988685E-16	0.0472844892	1	3.97922723177742E-17	-6.6113040968502E-20	-8.39148757546383E-20
0.1038178362	-0.00699723	0.498826461	0.5087656821	0.4910637385	-0.4909943922	-0.5088598946	0.5	1.29425781364863E-16	0.0472844892	1	3.97865490047995E-17	-6.69386891091979E-20	-8.39276856737215E-20
0.1038178721	-0.0069971948	0.4988262853	0.5087661981	0.4910635342	-0.4909941012	-0.5088598566	0.5	1.31295411551075E-16	0.0472844892	1	3.96812777661186E-17	-6.87725866341628E-20	-8.43260481026167E-20
0.1038178178	-0.0069972336	0.498826467	0.5087657558	0.4910637294	-0.4909944435	-0.5088597801	0.5	1.33165233005082E-16	0.0472844892	1	3.96707247011218E-17	-8.15524729316619E-20	-8.55010273275144E-20
0.1038178298	-0.0069971983	0.4988263094	0.5087660493	0.4910636047	-0.4909941532	-0.5088598871	0.5	1.35034994475491E-16	0.0472844892	1	3.96581368318263E-17	-8.96367789106411E-20	-8.68697571431681E-20
0.1038178337	-0.0069972247	0.4988264181	0.5087659336	0.4910636592	-0.4909943672	-0.5088597437	0.5	1.36904661027412E-16	0.0472844892	1	3.9348038282075E-17	-8.7981243842416E-20	-8.77788313443678E-20
0.1038178052	-0.0069972106	0.4988263704	0.5087658711	0.4910636822	-0.4909942654	-0.5088598823	0.5	1.38774280826446E-16	0.0472844892	1	4.02328940542315E-17	-8.75106741399705E-20	-8.74789333593373E-20
0.1038178454	-0.0069972115	0.4988263558	0.5087660805	0.4910635973	-0.490994255	-0.5088597649	0.5	1.4064398929638E-16	0.0472844892	1	3.96217324629494E-17	-8.89212306123973E-20	-8.73230431908862E-20
0.103817799	-0.0069972226	0.4988264231	0.5087657757	0.4910637243	-0.4909943652	-0.5088598408	0.5	1.42513436771398E-16	0.0472844892	1	3.97148635846473E-17	-9.02659051148173E-20	-8.64196373348745E-20
0.1038178419	-0.0069972027	0.4988263204	0.5087661139	0.491063582	-0.490994186	-0.5088598129	0.5	1.44383039384728E-16	0.0472844892	1	4.02100203892099E-17	-8.84050934878057E-20	-8.66992915230101E-20
0.1038178087	-0.006997227	0.4988264373	0.5087658027	0.4910637144	-0.4909943968	-0.5088597928	0.5	1.46252712395604E-16	0.0472844892	1	3.97030875019847E-17	-8.90797914161081E-20	-8.6696705689326E-20
0.1038178275	-0.0069972029	0.4988263274	0.5087660378	0.4910636131	-0.4909941935	-0.5088598516	0.5	1.48122273162483E-16	0.0472844892	1	3.97966328277668E-17	-8.92462179477482E-20	-8.61606535842187E-20
0.1038178246	-0.0069972228	0.4988264127	0.5087659095	0.4910636699	-0.4909943562	-0.5088597682	0.5	1.49991854243333E-16	0.0472844892	1	3.99928538377113E-17	-8.95786421991011E-20	-8.53224072236355E-20
0.1038178129	-0.0069972099	0.4988263634	0.5087659217	0.4910636621	-0.4909942568	-0.5088598595	0.5	1.5186163204834E-16	0.0472844892	1	3.98876414875336E-17	-8.985150875639E-20	-8.52062374074583E-20
0.1038178355	-0.0069972144	0.4988263725	0.5087660144	0.4910636252	-0.4909942835	-0.5088597765	0.5	1.53731239247104E-16	0.0472844892	1	3.99838131224144E-17	-8.94713324168334E-20	-8.51346525389716E-20
0.103817807	-0.0069972181	0.4988264006	0.5087658442	0.4910636955	-0.4909943257	-0.5088598382	0.5	1.55600908491105E-16	0.0472844892	1	3.92644319076019E-17	-8.9499268487016E-20	-8.46193233667929E-20
0.103817836	-0.0069972078	0.4988263443	0.5087660546	0.4910636074	-0.4909942295	-0.5088598057	0.5	1.57470566799848E-16	0.0472844892	1	3.9249345097683E-17	-8.72814915169037E-20	-8.24398796095886E-20
0.1038178114	-0.0069972223	0.4988264162	0.5087658438	0.4910636966	-0.4909943575	-0.5088598069	0.5	1.59340281104944E-16	0.0472844892	1	3.95437602229417E-17	-8.6995923724593E-20	-8.10601195143216E-20
0.1038178279	-0.0069972065	0.4988263425	0.5087660196	0.4910636213	-0.4909942228	-0.5088598336	0.5	1.61209930665021E-16	0.0472844892	1	3.99315411728385E-17	-8.69370984433206E-20	-8.12476374760569E-20
0.1038178213	-0.0069972207	0.4988264054	0.5087659042	0.4910636716	-0.4909943409	-0.5088597866	0.5	1.63079498988557E-16	0.0472844892	1	3.98263367096001E-17	-8.62164482322458E-20	-8.20384948211824E-20
0.1038178181	-0.0069972103	0.4988263626	0.5087659467	0.4910636519	-0.4909942572	-0.5088598437	0.5	1.64949215573207E-16	0.0472844892	1	3.96176446428858E-17	-8.66776091805347E-20	-8.19154153355276E-20
0.1038178295	-0.0069972157	0.4988263804	0.508765976	0.4910636412	-0.4909942963	-0.5088597872	0.5	1.66818646489897E-16	0.0472844892	1	3.99977006802035E-17	-8.8687185968396E-20	-8.14514794342677E-20
0.1038178127	-0.0069972157	0.4988263877	0.5087658881	0.491063677	-0.4909943033	-0.5088598337	0.5	1.68688260383859E-16	0.0472844892	1	4.0286433677101E-17	-8.99268239640994E-20	-8.08838779521882E-20
0.1038178315	-0.0069972109	0.4988263594	0.5087660132	0.4910636249	-0.4909942567	-0.5088598038	0.5	1.70557882245872E-16	0.0472844892	1	3.95818517351325E-17	-9.01084637684759E-20	-8.04097722988176E-20
0.1038178141	-0.0069972191	0.4988264016	0.508765876	0.4910636827	-0.4909943306	-0.5088598139	0.5	1.72427385361981E-16	0.0472844892	1	3.96702281731792E-17	-8.96257946274248E-20	-8.02865873634785E-20
0.1038178273	-0.0069972092	0.4988263541	0.508766001	0.4910636296	-0.4909942448	-0.5088598231	0.5	1.74296984758357E-16	0.0472844892	1	3.99594199230065E-17	-9.01246580692116E-20	-7.97288272872179E-20
